ID_GodotObject,cluster_value,merged_text
2000115059032,2,﻿20sars-cov-2maskenpflicht medizinisch_Personal Umgang Coronavirus Sar -cov-2-maskenpflicht-fuer-medizinisches-personal-im-umgang-mit- Coronavirus Labor müssen proben Potenziell infiziert Person ansteckungsgefährlich Stoff deklarieren Wien -- obwohl inzwischen herumsprechen einfach Mundschutzmaske Zeit Coronavirus Ritterrüstung Papierprodukt Handel immer ausverkaufen fachleute raten generell davor ab infizieren immerhin theoretisch Risiko verringern Tröpfchenübertragung husten niesen feucht Aussprache anstecken gesund Gegenseite schützen Mundschutz Partikelfilter gut Infektion außerdem zupfen Ungeübte maskenträg Mehrheit Bevölkerung häufig Maske herum berühren dabei oft erst Recht mund- nasenbereich falls sars-cov-2 schon fingern sitzen viren mehr weit schleimhäuten einfach Mundschutz Infizierung schützen partikelfiltrierender Halbmask medizinisch_Personal hingegen bestehen Umgang coronavirus-verdächtigen Mensch Sekretprobe Maskenpflicht staatlich Agentur Gesundheit Ernährungssicherheit Gmbh ages empfehlen neben Schutzmantel einmalhandschuhen Schutzbrill Atemschutzmaske Kategorie ffp2 gut ffp3 Kürzel ffp stehen Filtering face piece handeln partikelfiltrierender Halbmask Mund Nase bedecken ffp3-masken filtern 99 Prozent Partikel Größe 06 Mikrometer schützen krebserregend Stoff krankheitserregern viren Bakterie Pilzspore generell schützen atemschutzmasken lungengängig Staub Rauch aerosolen Dampf Gas schützen biologisch Stoff Kategorie -- Probenentnahm Nase rachen möglicherweise infiziert Person komplett Schutzkleidung umgehend entsorgen Transportbox probenröhrchen gemäß Anleitunge ages biologisch Stoff Kategorie -- kennzeichnen dadurch wissen labormitarbeit ansteckungsgefährlichen Stoff handeln Kategorie a fallen biologisch Stoff Austritt Schutzverpackung physisch Kontakt Mensch Tier dauerhaft Behinderung lebensbedrohend tödlich Krankheit hervorrufen Simo 2722020 hochwertig Atemschutzmaske medizinisch_Personal Epa Angelo Garconi | Maskenpflicht medizinisch_Personal Umgang Coronavirus
2000116305030,2,﻿20_Coronavirus schrittweise Einführung Maskenpflicht öffentlichkeitcoronavirus-schrittweise-einfuehrung-von-maskenpflicht-in-der- Oeffentlichkeit Regierung corona-maßnahmen verschärfen Zib Spezial dämpfen Kanzler erneut Hoffnung schnell Rückkehr Normalität wichtig_kürzen Regierung ziehen Pressekonferenz erster Bilanz bisherig Maßnahme Ausbreitung Coronavirus Sebastian_kurz Ruhe Sturm drei Maßnahme laut Bundeskanzler zusätzlich ergreifen g efährdet Person sollen gut schützen Regierung bisherig Maßnahme konsequent kontrollieren Maske Öffentlichkeit setzen Supermarktkette verteilen Maske voraussichtlich ab Mittwoch organisieren jedenfalls sobald Maske ausreichend Zahl Land gefährdet Personengrupp zusätzlich beruflich freistellen müssen verpflichtend Homeoffice touristisch Nutzung Hotel untersagen Schutzkonzept Spitäler ausbauen derzeit finden Stichprobentestung 2000 Person statt Ende Woche abschätzen vieler Person tatsächlich infizieren bei medizinisch_Personal entsprechend Testunge durchführen allein Wochenende 2046 anzeigen wegen verstößen coronavirus-maßnahmen geben kurz weit entfernt Lockerung Maßnahme sobald möglich Geschäft zuerst öffnen Kanzler erst danach sollen Schule Unis folgen stehen Montag 1030 Uhr laut Gesundheitsminister_Rudolf anschober Innenminister Karl Nehammer Österreichweit 108 Person folgen Coronavirus sterben 636 genesen insgesamt werden 618 Mensch Österreich positiv Virus testen Quelle Dashboard Gesundheitsministeriums per stehen 23 Uhr 15 29 März werden 179000 Mensch arbeitslos melden 16 März treten Maßnahme Coronavirus Kraft Donauinselfest September verschieben traditionell spö-maiaufmarsch Wien absagen USA verzeichnen 142000 corona-fällen weltweit meister Erkrankung US-Präsident trump Sonntag ankündigen aktuell geltend Maßnahme 30 April verlängern New York stehen Katastrophe trump befürchten 100000 coronavirus-tote USA Land Niederösterreich lässen Montag 250 Pflegerinn Pfleger Rumänien Bulgarien einfliegen 14-tägig quarantäne sollen sechs Woche lang Österreich arbeiten kosten Flug Unterbringung Quarantänezeit tragen Land Niederösterreich beziehungsweise Wirtschaftskammer -- betreuerinner Niederösterreich tätig wichtig_corona-regel lauten bleiben weit möglich Hause schränken sozialkontakt einkaufen Grundversorgung gewährleisten gestatten Aufenthalt öffentlich_Raum allein Person gemeinsam_Haushalt halten Abstandsregel mindestens_Meter weit_Information_ages_beantworten Frage rund Coronavirus_Nummer 0800_555 621_sollen_Symptom_aufweisen rufen_landesweit gültig_Gesundheitshotline_1450_wichtig Frage_Antwort Coronavirus_aktuell_zahlen Coronavirus Podcast coronavirus-lockdown -- neu leben Isolation richtig verhalten heimisch quarantäne aktuell_Covid-19-situation Österreich ages_bestätigen_Fall_Testunge Österreich_Gesundheitsministerium_Hinweis Situation_verhaltensregeln mehrere_Fremdsprache_Integrationsfond red 2932020 apabarbara_Gindlfoto Epachristian brunafoto Apronald zak apaschlagerfoto Georg Hochmuthpool via apaherberen Pfarrhoferap Photopatrick Semansky Reutersleonhard_Foeger epafoto apaexpa Johann Groderfoto ap photobebeto Matthews | schrittweise Einführung Maskenpflicht Öffentlichkeit
2000116371728,2,﻿20_Coronavirus Sonderbeauftragter Clemens Auer italienisch spanisch Verhältnis vermeiden Coronavirus-sonderbeauftragter-clemens-auer-italienische-oder-spanische-verhaeltnisse-vermeidenmaskenpflicht mehr Testunge coronavirus-verbreitung Clemens Auer Gesundheitsministerium Chat Gast seit Mittwoch Österreich Supermärkt Gesichtsmasken verteilen Maßnahme Clemens Martin Auer Sonderbeauftragter Gesundheitsministerium Rolle Berater Gesundheitsminister_Rudolf_anschober_grün begrüßen Sinn Zweck Übung ja Person potenziell Ausstoß Tröpfche mund- nasenbereich minimieren sodass Tröpfche Person gelangen beantworten entsprechend Frage users Auer werden Mittwoch standard-chat Kritik konfrontieren etwa Frage warum wenig testen Österreich heutig Tag 80000 Test durchführen wobei international Vergleich oberer Drittel Land liegen teste derzeit Person Symptom beginnen repräsentativ Testunge Bevölkerung einzelner Berufsgruppe vornehmen Test billig eingesetzt Euro gut investieren Klarheit Entwicklung Pandemie bekommen Auer coronavirus-pandemie anfangs Ernst genug nehmen werden weisen Experte zurück lang beruflich karriere nie erleben zuständig sindheitsbehörden allermeister Land rasch neu aufgetretenes Virus reagieren Maßnahmenpaket Regierung verteidigen Auer sein Ziel Schule Unternehmen Monat hinweg schließen halten müssen Neuinfektionsrate Beginn Pandemie flach halten stationär Einrichtung besonders stark erkranken ähnlich dramatisch verhältnissen Italien Spanien kommen diktatorisch Mittel Entscheidungsfindung Krisenstäb Erfolg hoch ethisch Bewusstsein Abwägung richtig falsch Auer schaffen Maßnahme setzen diktatorisch Mittel greifen müssen Zusammenarbeit Bundesland bezeichnen gelingen verantwortlich gemeinsam vorbildlich eventualitäen vorbereiten Sache Entwicklung impfstoff glauben Auer Geduld Tag legen müssen Weltgesundheitsorganisation who gehen davon impfstoff realistischerweis Jahr Verfügung stehen verhalten medikamenten Therapie impfstoffen vorliegen schließlich geben Auer Entwarnung Übertragung Virus Papier Kartonag bzw Essenszusteller betreffen Literatur unbekannt Virus Kartonag weiterverbreiten daher unbedenklich Pizzakarton angreifen sicher waschen gründlich Hand Rosa winkler-hermaden 142020 Standard Hendrich Standardcorn | Sonderbeauftragter Clemens Auer italienisch spanisch Verhältnis vermeiden
2000116740663,2,﻿20 mitreden corona -maßnahme Erfahrung Polizei mitreden-corona-massnahmen-ihre-erfahrungen-mit-der- Polizei werden jemand Umfeld Verstoß corona-maßnahmen strafen Abgemahnt letzter Zeit positiv Begegnung Polizei tauschen Forum erzählen Begegnung Polizei 2000 anzeigen 380 Organstrafmandat Bilanz osterwochenendes Österreich seit kurz gelten 25 Euro Verstoß Maskenpflicht öffis Nichteinhalt Ausgangsbeschränkung geben Strafe 50 Euro Regel Tag befolgen kommen unregelmäßig Abstände neu Herausforderung Mensch Land leben Exekutivbeamt -beamtinne derzeit erhöht Präsenz besonders stark frequentieren plätzen Einhaltung Regel sorgen müssen dabei kommen natürlich immer Nachvollziehbarem durchgreifen Polizei user berichten Wiener Polizeipräsident Gerhard pürsln Falter -interview stimmen Anfang perfekt laufen eineinhalb schön wochenenden lang kämpfen glauben schwierig vorgeben letzter 8000 Mitarbeiter bringen übereifrig wollen Empfehlung Experte Durchbruch verhelfen geben Verständnis oftmals streng durchgreifen Polizei positiv Erlebnis Polizei Social Media teilen Erfahrung letzter Woche Polizei machen werden Verstoß corona-maßnahmen bereits Abgemahnt gar strafen positiv auffallen negativ Verständnis streng Kontrolle Maßnahme erhöht Präsenz teilen Erfahrung Forum aan 1542020 Thema Verstoß Maskenpflicht kosten 25 Euro drohnen Checkpoints Italien jagen ausflüglern genau trotz Ausgangsbeschränkung erlauben -- 1051831326hundewiese heute ca 11 Uhr Altstadt 3 jung Polizist zerbrechlich alt aussehend Herr Frage Hilfe brauchen einkäufe Hause bringen spät paar Tag besuchen sicher gut gehen Mdash Sorin Balasko Balasko Sorin April 11 2020 neu_html Tag neu Tweet Apahelmut_Fohringerfoto apaherberen_p oczeret1052763451verständnis1052764210gart | corona-maßnahmen Erfahrung Polizei
2000119010979,2,﻿20tagesüberblick corona corona -cluster st Wolfgang wachsen 62 infizieren -- Missachtung abstandsregeln bald bundesweit mehr Gestrafttagesueberblick-corona-corona-cluster-in-st-wolfgang-waechst-auf-62-infizierte Missachtung-der-abstandsregeln-bald-bundesweit-nicht-mehr-gestraftgesundheitsminister anschober Ministerium reformieren neu Epidemiegesetz Österreich 2021 kommen wichtig Tag Überblick_wichtig kürzen nachdem Verfassungsgerichtshof vfgh mehrere Bestimmung coronavirus-bekämpfung gesetzeswidrig erklären kündigen Gesundheitsminister_Rudolf_anschober_grün Pressekonferenz Dienstag umfassend Reform Gesundheitsministeriums prozesse Erstellung rechtsmitteln sollen neu aufstellen juristisch Bereich Personal deutlich aufstocken nächster Tag sollen abstandsregeln Verordnung außer Kraft setzen heißen Österreichweit mehr strafen anschober kündigen neu Epidemiegesetz 2021 Zahl infiziert salzkammergut-tourismusort st Wolfgang spät montagabend 62 ansteigen teilen Krisenstab Land oberösterreich 38 insgesamt 1183 durchgeführen Test Ergebnis ausständig Land Salzburg testen ab Dienstag tourismuspraktikann zwei Salzburger anrainergemeinden st gilgen Strobl Wolfgangsee corona-krise Arbeitsmarkt fest greifen 432000 Mensch arbeitslos wobei Zahl zuletzt leicht sinken 474600 Person befinden Kurzarbeit grün Tourismussprecherin Barbara Neßler fordern Rolle mc kinsey bei Testungsprojekt Safe a offenlegen Coronavirus sorgen dafür Land mehr offen kindergärten Sommer bemühen Bund Land investieren Million Eltern entlasten Lehrergewerkschaft fordern Maskenpflicht nächster Schuljahr Regelung 3 Juni auslaufen spö Masterplan Gewerkschaft Aussendung begrüßen sprechen Neo klar allgemein Maskenpflicht Schule stark Anstieg Infektionszahl verschärfen Belgien corona-schutzmaßnahmen privat treffen etwa stark einschränken red 2872020 | corona-cluster st Wolfgang wachsen 62 infizieren -- Missachtung abstandsregeln bald bundesweit mehr strafen
2000120124979,2,﻿20coronavirus68 corona-patienten Österreich intensivstationen Reproduktionsfaktor 129coronavirus-68-corona-patienten-in-oesterreich-auf-intensivstationen-reproduktionsfaktor-bei-129kanzler kurz corona-maßnahmen eigen Angabe früh verschärfen morgen treten Kraft corona-news_Überblick_wichtig_kürzen Zahl aktiv sars-cov-2-infizierten Österreich Sonntag 8000er-marke überschreiten Reproduktionsfaktor liegen aktuell 129 laut Angabe innen Gesundheitsministerium stehen 930 Uhr 8100 Mensch aktiv infizieren binnen_24_Stunde kommen 621 neuinfektion hinzu zahlen finden groß Überblick 68 corona-patienten Österreich liegen derzeit intensivstationen davon 38 Wien coronavirus-erkrankte Spital behandeln müssen stehen 400 Normalbett 150 intensivstationen Verfügung anschober verkünden Woche mehr 100000 Testunge Rekordzahl erreichen werden Bundeskanzler_Sebastian_kurz_övp laut eigen Aussage schon früh neuerlich ansteigen Infektion reagieren sein alleinig Entscheidung sagen Österreich Stadt Wien gemeinsam Polizei Covid-19-kontrollen 26 betreiben Wiener Clubszene durchführen Dutzend verstößen werden registrieren ab Montag null Uhr corona-maßnahmen verschärfen privat Veranstaltung Innenraum beschränken Maskenpflicht ausweiten seit Freitagabend Detail neu Verordnung bekennen weltweit inzwischen mehr 3055 Million Mensch Coronavirus infizieren fast Million sterben USA bleiben rund 67 Million bestätigen fällen fast 200000 tot stark betroffen Land folgen Indien Brasilien red 2092020 Imageshollandse hoogen Alessandro Della vallefoto Afpjack Guezfoto Aparoland_schlagerfoto Aparoland_schlagerfoto Standardelmar Gubisch apaherberen pfarrhoferfoto Aparoland_schlagerfoto Apahelmut_Fohringerfoto_Reutersleonhard_Foeger apabarbara_Gindlfoto apadpasven_Hoppe Dapd Sebastian Widmann Hans_Punz_| 68 corona-patienten Österreich intensivstationen Reproduktionsfaktor 129
2000120816680,2,﻿20coronavirus-tagesüberblicksalzburg verbieten Veranstaltung tennengau Coronavirus -tagesueberblick-salzburg-verbietet-veranstaltungen-im- tennengau Gesundheitsministerium dementieren Plan neuerlich Lockdown bundesweit verschärfungen Maskenpflicht Veranstaltung sein möglich wichtig_kürzen Land Salzburg sonntagabend Veranstaltungsverbot gesamt tennengau beschließen Gemeinde Kuchl darüber_hinaus sperrstunde 1700 Uhr vorverlegen Maßnahme gelten ab Dienstag vorerst Montag 26 Oktober 2400 Uhr Gesundheitsministerium heißen Reaktion Zib -bericht samstagabend neuerlich Lockdown planen sein sein möglich kommend Tag Verschärfung bundesweit Maßnahme bezüglich Maskenpflicht Veranstaltung kommen Verlängerung 24 Oktober beginnend einwöchig Herbstferien Bildungsministerium Thema Sonntag Österreich 55319 positiv covid-testergebnisse geben Zunahme 896 Fall innerhalb 24_Stunde Slowenien nehmen Tirol Vorarlberg rot Liste einreisebeschränkungen Slowenien gelten weiterhin Wien Wien planen Testcontainer symptomatisch Person denken sicher Covid-19 grippal_Infekt bzw Grippe leiden US-Präsident_Donald_trump Samstag erstmals Covid-19-erkrankung öffentlich auftreten 2000 Anhänger einladen Balkon weiß Haus sprechen trump Woche positiv Test bekanntgeben werden zwischenzeitlich Krankenhaus behandeln red 11102020 mehr_Thema_Symptom Covid-19_Grippe grippal_Infekt unterscheiden_standard-community erzählen_corona-krankheitserfahrungen_betroffen_erzählen Covid-19_überstehen apaherberen_Neubauerfoto ap Marijan Murat ap | Salzburg verbieten Veranstaltung tennengau
2000121671795,2,﻿20_Coronavirus corona -ampel Österreich bleiben Rotcoronavirus-corona-ampel-oesterreich-bleibt-rotdie corona-ampelkommission donnerstagabend offenhalten Schule 14-jährig aussprechen Wien -- corona-kommission Gesundheitsministeriums Sitzung Donnerstagnachmittag gleich Einschätzung vorwoch kommen Infektionsrisiko gesamt Land hoch bleiben werden Ampel vorwoch bezirke Bundesländ gesamt Land rot stellen oberösterreichisch Nachricht berichten werden weit Maßnahme eingemahnen Zusammenbruch Gesundheitssystems verhindern laut oön Kommission angesichts dramatisch corona-lage Österreich Politik geraten möglichst zeitnah zusätzlich Maßnahme ergreifen Zusammenbruch Gesundheitssystems verhindern konkret werden Empfehlung verweisen werden ausgangsregeln Betretungsverbote covid-maßnahmengesetz dürfen wohl bedeuten Sicht Experte Ausgangsbeschränkung Handel Dienstleistung öffentlich Ort öffentlich Verkehr nachgeschärfen bereits gesetzt Gelindere Maßnahme_Eindämmung infektionsgeschehens ausreichend Wirkung entfalten zitieren Zeitung Beschluss 17 19 kommissionsmitgliedern haben zustimmen Vertreter Kärnten Fachexpertin enthalten heißen Kommission offen Schule zudem Ampelkommission donnerstagabend offenhalten Schule 14-jährig aussprechen Teilnehmerkreise erfahren Beschluss fallen demnach einstimmig lediglich Bundeskanzleramt enthalten Empfehlung kindergärten volksschulen sowie sekundarstufe 1 1014-jähriger möglichst lang offenhalten bleiben aufrecht heißen Beschluss Betreuungseinrichtung handeln aktuell_zahlen Agentur Gesundheit Ernährungssicherheit ages Treiber infektionsgeschehens Bildungsministerium weit Präventionsmaßnahm empfehlen Schulbetrieb 10 14-jährig Gruppe höherem Infektionsgeschehen 10-jährigen weiterhin ermöglichen sollen Antigen-schnelltest Einsatz kommen Maskenpflicht Schüler Lehrer Unterricht Staffelung schul-öffnungszeiten Nutzung groß räume Sport frei red 12112020 neu Tweet Apahelmut Fohringer if Aparesc Var Aparescfunction a Var ewindowadd Event_listen add Event_listen Attachevent t_n 0 Window e Attachevent e Onmessage Message function e if Edata a for Var Tdocumentget Elements by Class Name a N0 n Tlength n t_n styleheightedata a px 1 Aparesc apa-132820 neu_html Tag | corona-ampel Österreich bleiben rot
2000122479006,2,﻿20corona-regeln15-jährige klagen Republik wegen Maskenpflicht Schule corona -regeln-15-jaehrige-klagt-republik-wegen-maskenpflicht-an- Schule Initiative evidenzbasiert Coronainformation unterstützen Klage Gymnasiastin Obersteiermark Wien -- 15-jährig Gymnasiastin Obersteiermark wegen Maskenpflicht Unterricht Klage Republik einbringen heißen Montag Aussendung Initiative evidenzbasiert Coronainformation Musterklage unterstützen Argument fehlen Evidenz Maskentrag Ansteckung Covid-19 verhindern gleichzeitig können psychisch physisch beeinträchtigungen bei dauerhaft tragen ausschließen Anwältin Schülerin Michaela Hämmerle bemängeln Klage fehlend Verhältnismäßigkeitsprüfung Verletzung rechtsgütern leben Gesundheit gravierend folgen psych Kind_jugendlich ausschließen können Hämmerle verweisen zudem dänisch Studie wonach Maskentrag signifikanen Schutz Infektion bieten corona-skeptiker unterstützen Klage Schülerin verlangen laut Aussendung Klage Republik Feststellung mund-nasen-schutz tragen andernfalls Bund Verordnungsgeber Haftung sämtlicher folgeschäden Maskentrag auftreten übernehmen Initiative evidenzbasiert Coronainformation ici Vergangenheit mehrfach Demonstration corona-skeptikern organisieren Social distancing Folter bezeichnen tragen Maske wissenschaftlich Evidenz gefährlich einstufen außerdem Initiatorin volksbegehren Wiedergutmachungsgesetz Covid-19-maßnahm Fall Musterklage Schülerin erfolgreich planen ici laut Aussendung führen groß Sammelverfahre red 14122020 weiterlesen Social distancing Folter corona-skeptiker protestieren erneut Berufsverbot Arzt Bad aussee wegen online-attesten Maskenverweigerer warum Angst oft Irre führen tragen Maske verursachen Auge Klägerin Gesundheitliche schäden images Michael weber | 15-jährig klagen Republik wegen Maskenpflicht Schule
2000122736430,2,﻿20tagesüberblick_Coronavirus Impfbeginn Österreich 27_Dezember neun Uhr -- 2131 neuinfektion Tagesueberblick -coronavirus-impfbeginn-in-oesterreich-am-27-dezember-um-neun-uhr 2131 neuinfektion Ministerin Köstinger Staatssekretärin Mayer kündigen 300 Million Euro dotiert Schutzschirm Veranstalter corona-news_Überblick_wichtig_kürzen Bundeskanzler_Sebastian_kurz_övp Gesundheitsminister_Rudolf_anschober_grün österreichweiten Impfstart informieren planen beginnen Impfung 27_Dezember neun Uhr erster impfdosen gehen risikogruppen breit Bevölkerung Monat dulden müssen Verfassungsgerichtshof erklären Klassenteilung Maskenpflicht Frühjahr gesetzeswidrig Entscheidungsgrundlag Verordnung Bildungsministerium Höchstgericht erkennbar entsprechend Gesetz bereits außer Kraft Tourismusministerin_Elisabeth Köstinger övp präsentieren gemeinsam Kulturstaatssekretärin_Andrea Mayer grün finanziell Schutzschirm Veranstalter 300 Million Euro Jahr 2020 2021 2022 Verfügung stellen Österreich werden Mittwoch 2131 corona-neuinfektionen innerhalb vergangen 24_Stunde bekanntgeben Teststraße bei Austria Center Wien geben weit termin-slots 26 Dezember 1000 zusätzlich Termin pro Tag möglich red 23122020 mehr_Thema_Symptom Covid-19_Grippe grippal_Infekt unterscheiden_standard-community erzählen_corona-krankheitserfahrungen_betroffen_erzählen Covid-19_überstehen warum Krisenstab ages unterschiedlich corona-zahlen berechnen ap Photonam y huh fil apaherberen_Neubauer | Impfbeginn Österreich 27_Dezember neun Uhr -- 2131 neuinfektion
