ID_Posting,ID_Posting_Parent,ID_GodotObject,ID_CommunityIdentity,id_posting_status,Headline,Comment,createdAt,VoteNegative,VotePositive
1049746955,1049746300,2000114365338,581535,1.0,,"Nö, noch um einiges schlimmer.",2020-02-10 13:39:17.460,False,True
1051784424,1051784054,2000116189812,632068,1.0,,"Wieder einer, der nicht kapiert, dass Arbeit keine Gängelei ist, sondern notwendig für Versorgung und Wohlstand.",2020-03-26 12:08:22.187,False,True
1051784801,-1,2000116189812,600252,1.0,ich fasse es mit den worten von prof. falco zusammen:,nie mehr schule!,2020-03-26 12:13:29.653,True,False
1051785187,-1,2000116189812,701802,1.0,,Das wird Monate dauern ihr Traumtänzer... Das steht einfach nicht dafür,2020-03-26 12:19:13.047,True,False
1051785575,1051784986,2000116189812,702957,1.0,Dann sind wir gefordert,und müssen in Massen auf dieStrassen.,2020-03-26 12:25:26.320,False,True
1051786023,1051785474,2000116189812,702957,1.0,Die kommen jetzt eh schon mit,"Phase II der Propaganda: die Massen an jungen gesunden Leuten, die auch scheerst an Corona erkranken können..",2020-03-26 12:31:54.270,False,True
1051786435,1051786174,2000116189812,568249,1.0,Ich hoffe doch dass die Regierung mir ihren Experten darüber sinniert...,,2020-03-26 12:37:35.843,False,True
1051787270,1051786593,2000116189812,535549,1.0,,"Huhu, das wird dann wieder eine lustige Diskussion...",2020-03-26 12:48:33.360,False,True
1051787674,-1,2000116189812,180741,1.0,,"Für das zitierte ""Modell"" (was IST denn das Modell?? ein logistischer Prozess? Welche Parameter? Wie geschätzt.... ??)  des Wolfgang Pauli Instituts gibt es überhaupt keine Grundlagen und ich würde das nicht als Mathematik bezeichnen - das kann jeder Gymnasiast mir einer Excel-Tabelle der Daten realisieren. Und wie kommt der Mathematiker Mauser dazu, von der Nützlichkeit einer Maskenpflicht zu reden? Aus welchen Daten schließt er auf diese?",2020-03-26 12:54:17.667,False,True
1051787911,1051787716,2000116189812,180741,1.0,,"Der Mauser hat kein ""Modell"", sorry....",2020-03-26 12:57:49.790,False,True
1051788156,1051787434,2000116189812,702957,1.0,Aber dann würde das,argumentative Kartenhaus von Shirty & The Gang in sich zusammenstürzen,2020-03-26 13:01:24.747,True,False
1051788640,1051787141,2000116189812,587439,1.0,,Gute Frage. Die sollte öfter gestellt werden.,2020-03-26 13:07:57.223,False,True
1051790028,1051788234,2000116189812,578944,1.0,,Dann muss man halt den Kindern verändertes Sozialverhalten beibringen. Ich denke nach den letzten Wochen werden sie es schon begreifen.,2020-03-26 13:29:14.513,True,False
1051791100,1051788885,2000116189812,671943,1.0,,Masken bringen nichts - weil wir es verpasst haben welche zu besorgen.,2020-03-26 13:44:49.920,False,True
1051791961,1051791475,2000116189812,578420,1.0,,Ich glaub die Verklinkung soll eine Zusammenfassung der eigentlichen Studie sein. Aber Sie haben Recht jegliche Beweisführung fehlt in der Zusammenfassung.,2020-03-26 13:57:59.313,False,True
1051793823,-1,2000116189812,122835,1.0,,"Super, Schulen bleiben zu, aber die Eltern sollen bitteschön wieder arbeiten gehen. Und nicht vergessen: Nach wie vor dürfen die Großeltern nicht die Enkel betreuen! Gute Idee. Und die Kinder? Sperr ma in den Keller oder was?",2020-03-26 14:27:23.917,False,True
1051794525,1051793256,2000116189812,55475,1.0,,"Auf die Entfernung ist es schwer zu sagen, ob Sie das ernst meinen, oder ... naja, nicht. (rich)",2020-03-26 14:38:19.423,True,False
1051795844,-1,2000116189812,549599,1.0,,In Russland wird auch schon die Armee in Stellung gebracht. Habe soeben Bilder der Truppenbewegungen von Freunden/Kollegen aus Moskau erhalten. Der Lockdown dort wird aber ein wenig anders aussehen als in Europa (aber mehr Effekt haben).,2020-03-26 14:57:20.867,False,True
1051796177,1051793191,2000116189812,578944,1.0,,"Wenn die Mutter nur eines Kindes in der Klasse Altenbetreuerin ist, oder die Eltern eines anderen die Großmutter pflegen, haben wir den Salat. Man kann nur anderes Sozialverhalten auch bei den Kindern einfordern.",2020-03-26 15:02:40.197,False,True
1051796529,1051796050,2000116189812,122835,1.0,,"Aber Reißverschluss vorm Mund schön zulassen, gell?! ;)",2020-03-26 15:08:25.660,False,True
1051797363,-1,2000116189812,308777,1.0,,Schweden geht einen ganz anderen Weg. Sind das dort lauter Vollpfosten?,2020-03-26 15:21:39.020,False,True
1051797433,1051797213,2000116189812,508727,1.0,,"10% vielleicht wenns hoch her geht, die anderen 40% sind asymptomatisch, und die restlichen 50% 4 Tage Fieber, ich glaub wir sollten ned übertreiben....",2020-03-26 15:23:07.990,False,True
1051798417,1051797496,2000116189812,632025,1.0,,"Ebensowenig Arbeitsaufnahme nein, Freizeitkontakte ja.",2020-03-26 15:38:37.590,False,True
